Directory,FPS,Avg Total (ms),Avg SuperPoint (ms),Avg Matching (ms),Total Frames,Model Params (M),Model Size (MB),Map Points,Keyframes,Inlier Mean,Inlier Min,Inlier Max,Kpts Mean,Kpts Min,Kpts Max
no-loop_closure,31.404438845444407,31.84263234001591,10.673001059331,0.0006816687422318,991,0.16,0.59,158529,199,0.356185685596192,0.022633744855967,0.6846153846153846,472.8698284561049,283,652
g2o_변환,11.48,87.08,20.3,0.0,991,0.16,0.59,215177,186,0.717,0.455,0.957,487.0,231,723
--sp-interval 1,12.14,82.34,20.99,0.0,991,0.16,0.59,183568,141,0.832,0.593,0.976,487.0,231,723
--sp-interval 2,16.44,60.81,10.71,0.0,991,0.16,0.59,199524,139,0.671,0.057,0.974,411.0,148,706
--sp-interval 3,18.94,52.8,7.99,0.0,991,0.16,0.59,178287,127,0.648,0.042,0.974,375.0,128,723
그림자_필터_수정,16.42,60.91,10.77,0.0,991,0.16,0.59,197004,136,0.669,0.039,0.968,405.0,147,694
그림자_필터_수정2,16.58,60.32,10.77,0.0,991,0.16,0.59,217341,136,0.697,0.058,0.968,405.0,147,694
superpoint_3d_96,16.62,60.17,10.8,0.0,991,0.16,0.59,217162,136,0.698,0.058,0.968,405.0,147,694
