Directory,ATE RMSE (m),ATE Mean (m),ATE Median (m),ATE Max (m),Compared Poses,FPS,Avg Total (ms),Avg SuperPoint (ms),Avg Matching (ms),Total Frames,Model Params (M),Model Size (MB),Map Points,Keyframes,Inlier Mean,Inlier Min,Inlier Max,Kpts Mean,Kpts Min,Kpts Max
superpoint_3d_04,54.3832,47.8524,42.9605,159.4398,4071,10.54,94.89,14.55,0.0,4070,0.16,0.59,1040418,1501,0.799,0.068,1.0,413.0,87,942
superpoint_3d_15,43.9419,36.6302,31.4911,138.4643,4071,11.65,85.8,14.97,0.0,4070,0.16,0.59,1172374,1558,0.793,0.039,1.0,475.0,172,944
